order_id,order_name,stage,time,timestamp,resource,queue_recv,queue_pick,queue_ship,queue_deliv
16,Order16,ship_start,103.83336456988086,2025-07-20 10:43:50.001874,Shipping,0,0,5,2
20,Order20,pack_end,104.73395060478524,2025-07-20 10:44:44.037036,,0,0,5,2
16,Order16,ship_end,106.8903186749071,2025-07-20 10:46:53.419120,Shipping,0,0,6,2
15,Order15,ship_start,106.8903186749071,2025-07-20 10:46:53.419120,Shipping,0,0,5,3
8,Order8,deliver_end,112.29499083728035,2025-07-20 10:52:17.699450,Delivery,0,0,5,3
8,Order8,delivered,112.29499083728035,2025-07-20 10:52:17.699450,,0,0,5,2
11,Order11,deliver_start,112.29499083728035,2025-07-20 10:52:17.699450,Delivery,0,0,5,2
21,Order21,verify_start,112.73530636933741,2025-07-20 10:52:44.118382,,0,0,5,2
2,Order2,deliver_end,113.14117372812383,2025-07-20 10:53:08.470424,Delivery,0,0,5,2
2,Order2,delivered,113.14117372812383,2025-07-20 10:53:08.470424,,0,0,5,1
9,Order9,deliver_start,113.14117372812383,2025-07-20 10:53:08.470424,Delivery,0,0,5,1
15,Order15,ship_end,113.83351961745664,2025-07-20 10:53:50.011177,Shipping,0,0,5,1
14,Order14,ship_start,113.83351961745664,2025-07-20 10:53:50.011177,Shipping,0,0,4,2
21,Order21,verify_end,114.77952417388511,2025-07-20 10:54:46.771450,,0,0,4,2
21,Order21,pick_start,114.77952417388511,2025-07-20 10:54:46.771450,Picking,0,0,4,2
21,Order21,pick_end,118.5354103191596,2025-07-20 10:58:32.124619,Picking,0,0,4,2
21,Order21,pack_start,118.5354103191596,2025-07-20 10:58:32.124619,,0,0,4,2
21,Order21,pack_end,118.86713999265649,2025-07-20 10:58:52.028400,,0,0,4,2
14,Order14,ship_end,124.02089388762222,2025-07-20 11:04:01.253633,Shipping,0,0,5,2
17,Order17,ship_start,124.02089388762222,2025-07-20 11:04:01.253633,Shipping,0,0,4,3
11,Order11,deliver_end,124.10348527073516,2025-07-20 11:04:06.209116,Delivery,0,0,4,3
11,Order11,delivered,124.10348527073516,2025-07-20 11:04:06.209116,,0,0,4,2
16,Order16,deliver_start,124.10348527073516,2025-07-20 11:04:06.209116,Delivery,0,0,4,2
13,Order13,ship_end,124.56014173248708,2025-07-20 11:04:33.608504,Shipping,0,0,4,2
19,Order19,ship_start,124.56014173248708,2025-07-20 11:04:33.608504,Shipping,0,0,3,3
22,Order22,verify_start,124.92319924450857,2025-07-20 11:04:55.391955,,0,0,3,3
22,Order22,verify_end,124.92377130423148,2025-07-20 11:04:55.426278,,0,0,3,3
22,Order22,pick_start,124.92377130423148,2025-07-20 11:04:55.426278,Picking,0,0,3,3
22,Order22,pick_end,126.49094363682015,2025-07-20 11:06:29.456618,Picking,0,0,3,3
22,Order22,pack_start,126.49094363682015,2025-07-20 11:06:29.456618,,0,0,3,3
22,Order22,pack_end,126.53028146375979,2025-07-20 11:06:31.816888,,0,0,3,3
23,Order23,verify_start,128.70207605238892,2025-07-20 11:08:42.124563,,0,0,4,3
23,Order23,verify_end,130.81174489296745,2025-07-20 11:10:48.704694,,0,0,4,3
23,Order23,pick_start,130.81174489296745,2025-07-20 11:10:48.704694,Picking,0,0,4,3
23,Order23,pick_end,132.28161464825567,2025-07-20 11:12:16.896879,Picking,0,0,4,3
23,Order23,pack_start,132.28161464825567,2025-07-20 11:12:16.896879,,0,0,4,3
23,Order23,pack_end,132.40095578119983,2025-07-20 11:12:24.057347,,0,0,4,3
10,Order10,deliver_end,134.40604701589626,2025-07-20 11:14:24.362821,Delivery,0,0,5,3
10,Order10,delivered,134.40604701589626,2025-07-20 11:14:24.362821,,0,0,5,2
15,Order15,deliver_start,134.40604701589626,2025-07-20 11:14:24.362821,Delivery,0,0,5,2
9,Order9,deliver_end,134.40851463742302,2025-07-20 11:14:24.510878,Delivery,0,0,5,2
9,Order9,delivered,134.40851463742302,2025-07-20 11:14:24.510878,,0,0,5,1
14,Order14,deliver_start,134.40851463742302,2025-07-20 11:14:24.510878,Delivery,0,0,5,1
17,Order17,ship_end,138.39722519304274,2025-07-20 11:18:23.833512,Shipping,0,0,5,1
18,Order18,ship_start,138.39722519304274,2025-07-20 11:18:23.833512,Shipping,0,0,4,2
12,Order12,deliver_end,138.44717074919856,2025-07-20 11:18:26.830245,Delivery,0,0,4,2
12,Order12,delivered,138.44717074919856,2025-07-20 11:18:26.830245,,0,0,4,1
13,Order13,deliver_start,138.44717074919856,2025-07-20 11:18:26.830245,Delivery,0,0,4,1
18,Order18,ship_end,139.2926814340668,2025-07-20 11:19:17.560886,Shipping,0,0,4,1
20,Order20,ship_start,139.2926814340668,2025-07-20 11:19:17.560886,Shipping,0,0,3,2
19,Order19,ship_end,139.63918035452505,2025-07-20 11:19:38.350821,Shipping,0,0,3,2
21,Order21,ship_start,139.63918035452505,2025-07-20 11:19:38.350821,Shipping,0,0,2,3
20,Order20,ship_end,140.0099244020065,2025-07-20 11:20:00.595464,Shipping,0,0,2,3
22,Order22,ship_start,140.0099244020065,2025-07-20 11:20:00.595464,Shipping,0,0,1,4
24,Order24,verify_start,141.93440269696603,2025-07-20 11:21:56.064162,,0,0,1,4
24,Order24,verify_end,142.57929772110197,2025-07-20 11:22:34.757863,,0,0,1,4
24,Order24,pick_start,142.57929772110197,2025-07-20 11:22:34.757863,Picking,0,0,1,4
25,Order25,verify_start,142.62147711221482,2025-07-20 11:22:37.288627,,0,0,1,4
26,Order26,verify_start,144.16128625678712,2025-07-20 11:24:09.677175,,0,0,1,4
26,Order26,verify_end,144.39928739423104,2025-07-20 11:24:23.957244,,0,0,1,4
26,Order26,pick_start,144.39928739423104,2025-07-20 11:24:23.957244,Picking,0,0,1,4
25,Order25,verify_end,144.68059099649213,2025-07-20 11:24:40.835460,,0,0,1,4
24,Order24,pick_end,145.77158305125448,2025-07-20 11:25:46.294983,Picking,0,1,1,4
24,Order24,pack_start,145.77158305125448,2025-07-20 11:25:46.294983,,0,0,1,4
25,Order25,pick_start,145.77158305125448,2025-07-20 11:25:46.294983,Picking,0,0,1,4
25,Order25,pick_end,146.66991671789484,2025-07-20 11:26:40.195003,Picking,0,0,1,4
25,Order25,pack_start,146.66991671789484,2025-07-20 11:26:40.195003,,0,0,1,4
27,Order27,verify_start,146.91204678442435,2025-07-20 11:26:54.722807,,0,0,1,4
25,Order25,pack_end,147.41702503540205,2025-07-20 11:27:25.021502,,0,0,1,4
26,Order26,pick_end,147.4992862635995,2025-07-20 11:27:29.957176,Picking,0,0,2,4
26,Order26,pack_start,147.4992862635995,2025-07-20 11:27:29.957176,,0,0,2,4
27,Order27,verify_end,147.96152056285814,2025-07-20 11:27:57.691234,,0,0,2,4
27,Order27,pick_start,147.96152056285814,2025-07-20 11:27:57.691234,Picking,0,0,2,4
24,Order24,pack_end,148.38973915705532,2025-07-20 11:28:23.384349,,0,0,2,4
26,Order26,pack_end,148.65214932400875,2025-07-20 11:28:39.128959,,0,0,3,4
27,Order27,pick_end,150.8772467790628,2025-07-20 11:30:52.634807,Picking,0,0,4,4
27,Order27,pack_start,150.8772467790628,2025-07-20 11:30:52.634807,,0,0,4,4
27,Order27,pack_end,151.13519708859252,2025-07-20 11:31:08.111825,,0,0,4,4
21,Order21,ship_end,153.93546565868093,2025-07-20 11:33:56.127940,Shipping,0,0,5,4
23,Order23,ship_start,153.93546565868093,2025-07-20 11:33:56.127940,Shipping,0,0,4,5
22,Order22,ship_end,154.52719286968488,2025-07-20 11:34:31.631572,Shipping,0,0,4,5
25,Order25,ship_start,154.52719286968488,2025-07-20 11:34:31.631572,Shipping,0,0,3,6
23,Order23,ship_end,156.48048358872487,2025-07-20 11:36:28.829015,Shipping,0,0,3,6
24,Order24,ship_start,156.48048358872487,2025-07-20 11:36:28.829015,Shipping,0,0,2,7
25,Order25,ship_end,158.65338266323735,2025-07-20 11:38:39.202960,Shipping,0,0,2,7
26,Order26,ship_start,158.65338266323735,2025-07-20 11:38:39.202960,Shipping,0,0,1,8
26,Order26,ship_end,161.26852044932426,2025-07-20 11:41:16.111227,Shipping,0,0,1,8
27,Order27,ship_start,161.26852044932426,2025-07-20 11:41:16.111227,Shipping,0,0,0,9
27,Order27,ship_end,163.75592141089254,2025-07-20 11:43:45.355285,Shipping,0,0,0,9
24,Order24,ship_end,165.35529886026904,2025-07-20 11:45:21.317932,Shipping,0,0,0,10
16,Order16,deliver_end,170.61427118986765,2025-07-20 11:50:36.856271,Delivery,0,0,0,11
16,Order16,delivered,170.61427118986765,2025-07-20 11:50:36.856271,,0,0,0,10
17,Order17,deliver_start,170.61427118986765,2025-07-20 11:50:36.856271,Delivery,0,0,0,10
28,Order28,verify_start,173.55526646238133,2025-07-20 11:53:33.315988,,0,0,0,10
28,Order28,verify_end,173.81525786327214,2025-07-20 11:53:48.915472,,0,0,0,10
28,Order28,pick_start,173.81525786327214,2025-07-20 11:53:48.915472,Picking,0,0,0,10
17,Order17,deliver_end,175.0326170575389,2025-07-20 11:55:01.957023,Delivery,0,0,0,10
17,Order17,delivered,175.0326170575389,2025-07-20 11:55:01.957023,,0,0,0,9
18,Order18,deliver_start,175.0326170575389,2025-07-20 11:55:01.957023,Delivery,0,0,0,9
13,Order13,deliver_end,178.37797833962043,2025-07-20 11:58:22.678700,Delivery,0,0,0,9
13,Order13,delivered,178.37797833962043,2025-07-20 11:58:22.678700,,0,0,0,8
